id,dataset,domain,structure,query,answer,evidence_graphml,evidence_text,source_file
CM_cycle_000001,CM,medicine,cycle,急性心力衰竭的一个临床表现是意识障碍，而意识障碍可能由心力衰竭引起，而心力衰竭可分型为急性心力衰竭，这种情况下通常会出现哪种临床表现？,呼吸困难,batch_000/cycle_00001.graphml,batch_000/cycle_00001.txt,output_queries_part_1.csv
CM_cycle_000002,CM,medicine,cycle,心衰可能由猝死引起，而猝死的一个临床表现是心力衰竭，而心力衰竭的一个临床表现是心衰，这种情况下通常属于哪种病理分型？,冠心病,batch_000/cycle_00002.graphml,batch_000/cycle_00002.txt,output_queries_part_1.csv
CM_cycle_000003,CM,medicine,cycle,心衰可能由猝死引起，而猝死又可能由急性心肌梗死引起，而急性心肌梗死的一个临床表现是心衰，这种情况下通常会考虑哪种辅助治疗？,镇静,batch_000/cycle_00003.graphml,batch_000/cycle_00003.txt,output_queries_part_1.csv
CM_cycle_000004,CM,medicine,cycle,心衰可能由猝死引起，而猝死的一个临床表现是心律失常，心律失常的一个临床表现是心衰，这种情况下通常属于哪种病理分型？,冠心病,batch_000/cycle_00004.graphml,batch_000/cycle_00004.txt,output_queries_part_1.csv
CM_cycle_000005,CM,medicine,cycle,hs-CRP常借助IMT进行实验室检查，而IMT常借助空腹血糖进行实验室检查，而空腹血糖常借助hs-CRP进行实验室检查，这种情况下通常会进行哪项实验室检查？,尿酸,batch_000/cycle_00005.graphml,batch_000/cycle_00005.txt,output_queries_part_1.csv
CM_cycle_000006,CM,medicine,cycle,恶心的一个临床表现是呕吐，而呕吐的一个临床表现是呼吸暂停，而呼吸暂停常借助胃镜检查进行内窥镜检查，而胃镜检查的一个临床表现是恶心，这种情况下通常会考虑哪种药物治疗？,丙泊酚,batch_000/cycle_00006.graphml,batch_000/cycle_00006.txt,output_queries_part_1.csv
CM_cycle_000007,CM,medicine,cycle,恶心往往需要通过手术治疗PCIA，而PCIA可能会导致低血压，低血压又可能引起恶心，这种情况下通常会出现哪种临床表现？,眩晕,batch_000/cycle_00007.graphml,batch_000/cycle_00007.txt,output_queries_part_1.csv
CM_cycle_000008,CM,medicine,cycle,恶心可以通过手术治疗PCIA，而PCIA在治疗中会使用瑞芬太尼，瑞芬太尼可能导致呛咳，而呛咳又会表现为恶心，这种情况下通常会出现哪种临床表现？,眩晕,batch_000/cycle_00008.graphml,batch_000/cycle_00008.txt,output_queries_part_1.csv
CM_cycle_000009,CM,medicine,cycle,脑血管畸形可以分为硬脑膜动静脉瘘，而硬脑膜动静脉瘘又可以分为颅内动静脉畸形，颅内动静脉畸形的一个临床表现是出血，而出血可能是由脑血管畸形引起的，这种情况下通常会进行哪项影像学检查？,血管造影,batch_000/cycle_00009.graphml,batch_000/cycle_00009.txt,output_queries_part_1.csv
CM_cycle_000010,CM,medicine,cycle,脑血管畸形可以分型为硬脑膜动静脉瘘，而硬脑膜动静脉瘘的一个临床表现是蛛网膜下腔出血，蛛网膜下腔出血可能由脑血管畸形引起，这种情况下通常会考虑哪种辅助治疗？,心理护理,batch_000/cycle_00010.graphml,batch_000/cycle_00010.txt,output_queries_part_1.csv
CM_cycle_000011,CM,medicine,cycle,脑血管畸形可分型为动静脉畸形，而动静脉畸形的一个临床表现是出血，而出血可能由脑血管畸形引起，这种情况下通常会进行哪项影像学检查？,CT血管造影,batch_000/cycle_00011.graphml,batch_000/cycle_00011.txt,output_queries_part_1.csv
CM_cycle_000012,CM,medicine,cycle,脑血管畸形常借助DSA进行实验室检查，而DSA可采用栓塞术进行手术治疗，而栓塞术的一个临床表现是出血，而出血可能由脑血管畸形引起，这种情况下通常会进行哪项影像学检查？,CT,batch_000/cycle_00012.graphml,batch_000/cycle_00012.txt,output_queries_part_1.csv
CM_cycle_000013,CM,medicine,cycle,脑血管畸形常通过DSA进行实验室检查，而DSA的一个临床表现是出血，而出血可能是由脑血管畸形引起的，这种情况下通常会进行哪项影像学检查？,CT,batch_000/cycle_00013.graphml,batch_000/cycle_00013.txt,output_queries_part_1.csv
CM_cycle_000014,CM,medicine,cycle,疼痛可以通过硬膜外麻醉进行辅助治疗，而硬膜外麻醉又需要进行BIS实验室检查，BIS可以用于腹腔镜胆囊切除术的手术治疗，腹腔镜胆囊切除术的临床表现是疼痛，这种情况下通常会考虑哪种药物治疗？,芬太尼,batch_000/cycle_00014.graphml,batch_000/cycle_00014.txt,output_queries_part_1.csv
CM_cycle_000015,CM,medicine,cycle,疼痛可以通过硬膜外麻醉进行辅助治疗，而硬膜外麻醉通常需要进行BIS的实验室检查，BIS又可以通过气管插管进行辅助治疗，气管插管的一个临床表现是疼痛，这种情况下通常会考虑哪种药物治疗？,芬太尼,batch_000/cycle_00015.graphml,batch_000/cycle_00015.txt,output_queries_part_1.csv
CM_cycle_000016,CM,medicine,cycle,疼痛可以通过硬膜外麻醉进行辅助治疗，而硬膜外麻醉又可以使用地佐辛进行药物治疗，地佐辛的一个临床表现是躁动，而躁动的一个临床表现又是疼痛，这种情况下通常会考虑哪种药物治疗？,芬太尼,batch_000/cycle_00016.graphml,batch_000/cycle_00016.txt,output_queries_part_1.csv
CM_cycle_000017,CM,medicine,cycle,疼痛可以通过硬膜外麻醉进行辅助治疗，而硬膜外麻醉常用于剖宫产手术治疗，剖宫产的一个临床表现是疼痛，这种情况下通常会考虑哪种药物治疗？,芬太尼,batch_000/cycle_00017.graphml,batch_000/cycle_00017.txt,output_queries_part_1.csv
CM_cycle_000018,CM,medicine,cycle,疼痛可以通过硬膜外麻醉进行辅助治疗，而硬膜外麻醉又常用于腰麻手术治疗，腰麻可能会出现呕吐的临床表现，而呕吐又可能是由疼痛引起的，这种情况下通常会考虑哪种手术治疗？,剖宫产术,batch_000/cycle_00018.graphml,batch_000/cycle_00018.txt,output_queries_part_1.csv
CM_cycle_000019,CM,medicine,cycle,疼痛可以通过硬膜外麻醉进行辅助治疗，而硬膜外麻醉又可以用于腰麻进行手术治疗，腰麻在手术治疗中可关联到剖宫产，而剖宫产的一个临床表现是疼痛，那么这种情况下通常会考虑哪种手术治疗？,剖宫产术,batch_000/cycle_00019.graphml,batch_000/cycle_00019.txt,output_queries_part_1.csv
CM_cycle_000020,CM,medicine,cycle,疼痛可以用异丙酚进行药物治疗，而异丙酚又可以用氯诺昔康进行药物治疗，氯诺昔康的一个临床表现是呕吐，而呕吐可能由疼痛引起，这种情况下通常会考虑哪种药物治疗？,芬太尼,batch_000/cycle_00020.graphml,batch_000/cycle_00020.txt,output_queries_part_1.csv
