id,dataset,domain,structure,query,answer,evidence_graphml,evidence_text,source_file
UD_cycle_000001,UD,biography,cycle,What location is significant to the NARRATOR's experiences in NEW YORK and serves as a contrast to NEW ORLEANS?,HOTEL,batch_000/cycle_00001.graphml,batch_000/cycle_00001.txt,output_queries_part_1.csv
UD_cycle_000002,UD,biography,cycle,Which city is mentioned by the NARRATOR as a point of comparison to their experiences in NEW YORK and is also where TOMMY currently resides while working at BELLEVUE?,NEW ORLEANS,batch_000/cycle_00002.graphml,batch_000/cycle_00002.txt,output_queries_part_1.csv
UD_cycle_000003,UD,biography,cycle,"What place is significant to ALAN, TOM, and the NARRATOR, where they interact and contribute to its culture?",BELLEVUE,batch_000/cycle_00003.graphml,batch_000/cycle_00003.txt,output_queries_part_1.csv
UD_cycle_000004,UD,biography,cycle,"What location was significant for both ANDY WARHOL and EDIE SEDGWICK, where they collaborated on projects and developed their relationship?",FACTORY,batch_000/cycle_00004.graphml,batch_000/cycle_00004.txt,output_queries_part_1.csv
UD_cycle_000005,UD,biography,cycle,"Which team in BASEBALL is influenced by the FANS in ATLANTA, reflecting the city's baseball culture?",BRAVES,batch_000/cycle_00005.graphml,batch_000/cycle_00005.txt,output_queries_part_1.csv
UD_cycle_000006,UD,biography,cycle,"What group influences the atmosphere of games in BASEBALL, reflects the culture of ATLANTA, and supports the BRAVES?",FANS,batch_000/cycle_00006.graphml,batch_000/cycle_00006.txt,output_queries_part_1.csv
UD_cycle_000007,UD,biography,cycle,What significant achievement in BASEBALL is linked to both JACKIE ROBINSON's role in breaking the color barrier and HENRY AARON's record-breaking performance?,HOME RUN,batch_000/cycle_00007.graphml,batch_000/cycle_00007.txt,output_queries_part_1.csv
UD_cycle_000008,UD,cs,cycle,What is the event that encompasses both TAILS and HEADS as possible outcomes of flipping a COIN?,EXPERIMENT,batch_000/cycle_00008.graphml,batch_000/cycle_00008.txt,output_queries_part_1.csv
UD_cycle_000009,UD,cs,cycle,"What distribution is characterized by the MEAN being the expected number of successes in N trials and the VARIANCE being calculated as Np(1-p), exemplified by a COIN FLIP?",BINOMIAL DISTRIBUTION,batch_000/cycle_00009.graphml,batch_000/cycle_00009.txt,output_queries_part_1.csv
UD_cycle_000010,UD,cs,cycle,"What is characterized by the MEAN of a COIN FLIP, the VARIANCE that measures the spread of values, and the PROBABILITY DISTRIBUTION that describes the likelihood of outcomes?",RANDOM VARIABLE,batch_000/cycle_00010.graphml,batch_000/cycle_00010.txt,output_queries_part_1.csv
UD_cycle_000011,UD,cs,cycle,What is the measure that describes the spread of values around the MEAN in a COIN FLIP and is also a characteristic of the BINOMIAL DISTRIBUTION?,VARIANCE,batch_000/cycle_00011.graphml,batch_000/cycle_00011.txt,output_queries_part_1.csv
UD_cycle_000012,UD,cs,cycle,What is the term for the concept that can be characterized by both the MEAN and VARIANCE of a RANDOM VARIABLE?,PROBABILITY DISTRIBUTION,batch_000/cycle_00012.graphml,batch_000/cycle_00012.txt,output_queries_part_1.csv
UD_cycle_000013,UD,cs,cycle,What entity is defined by its MEAN and STANDARD DEVIATION in relation to a PROBABILITY DISTRIBUTION?,NORMAL RANDOM VARIABLE,batch_000/cycle_00013.graphml,batch_000/cycle_00013.txt,output_queries_part_1.csv
UD_cycle_000014,UD,cs,cycle,"What is the common parameter that is estimated using STANDARD ERROR, CONFIDENCE INTERVAL, and BOOTSTRAP in statistical analysis?",POPULATION MEAN,batch_000/cycle_00014.graphml,batch_000/cycle_00014.txt,output_queries_part_1.csv
UD_cycle_000015,UD,physics,cycle,"Which location contributes to the perception of light spectrum through RADIO WAVES, the warmth after sunset through MICROWAVES and INFRARED LIGHT, and the shaping of dunes by VISIBLE LIGHT?",NAMIB DESERT,batch_000/cycle_00015.graphml,batch_000/cycle_00015.txt,output_queries_part_1.csv
UD_cycle_000016,UD,physics,cycle,"What influences the structure and motion of galaxies within the GALAXY and is also a component of the UNIVERSE that has a gravitational effect on celestial bodies, as described by GRAVITY?",DARK MATTER,batch_000/cycle_00016.graphml,batch_000/cycle_00016.txt,output_queries_part_1.csv
UD_cycle_000017,UD,physics,cycle,"What event is responsible for the EXPANDING UNIVERSE, the formation of GALAXIES, and the existence of the COSMIC MICROWAVE BACKGROUND (CMB) in the UNIVERSE?",BIG BANG,batch_000/cycle_00017.graphml,batch_000/cycle_00017.txt,output_queries_part_1.csv
UD_cycle_000018,UD,physics,cycle,"Which entity is linked to PHILOSOPHY, RUSSELL, WITTGENSTEIN, and DREBEN through their philosophical contributions and critiques?",GÖDEL,batch_000/cycle_00018.graphml,batch_000/cycle_00018.txt,output_queries_part_1.csv
UD_cycle_000019,UD,physics,cycle,What is formed from the leftover MATTER that also influences GALAXIES through GRAVITY and is a result of SPACETIME CURVATURE?,STARS,batch_000/cycle_00019.graphml,batch_000/cycle_00019.txt,output_queries_part_1.csv
UD_cycle_000020,UD,health,cycle,"Which entity is affected by STRESS, plays a role in the BRAIN, and is involved in both the ENDOCRINE SYSTEM and the BRAIN LONGEVITY PROGRAM?",LIMBIC SYSTEM,batch_000/cycle_00020.graphml,batch_000/cycle_00020.txt,output_queries_part_1.csv
