id,dataset,domain,structure,query,answer,evidence_graphml,evidence_text,source_file
CM_bridge_star_000001,CM,medicine,bridge_star,最近我感到心脏区域不适，检查也发现有实质性脏器破裂，同时我有急性白血病和糖尿病的病史，医生通常会建议我做哪项检查来进一步明确诊断呢？,超声诊断,bridge_subgraph_00010.graphml,bridge_subgraph_00010.txt,1/output_queries_part_1.csv
CM_bridge_star_000002,CM,medicine,bridge_star,在确诊子宫绒癌和胰腺结石时，通常会使用哪种影像学检查方法？我知道这种检查方法也常用于腹股沟疝的诊断，并且与MSCT有密切关系。,超声诊断,bridge_subgraph_00012.graphml,bridge_subgraph_00012.txt,1/output_queries_part_1.csv
CM_bridge_star_000003,CM,medicine,bridge_star,在影像检查肺癌和中分化鳞癌时，医生通常会使用一种特定的技术来优化图像质量，而这种技术也适用于2型糖尿病患者。请问这项技术是什么？,肺部CT检查,bridge_subgraph_00009.graphml,bridge_subgraph_00009.txt,1/output_queries_part_1.csv
CM_bridge_star_000004,CM,medicine,bridge_star,在诊断急性坏死型胰腺炎、乳腺肿块微钙化、急性阑尾炎和肝破裂等疾病时，医生通常会使用哪种影像学检查来更准确地评估病情？,超声诊断,bridge_subgraph_00000.graphml,bridge_subgraph_00000.txt,1/output_queries_part_1.csv
CM_bridge_star_000005,CM,medicine,bridge_star,在检查节育器的位置是否发生移动的同时，评估老年患者的冠心病和颈动脉硬化情况时，通常使用哪种影像学手段？这种手段在急性胰腺炎和肿瘤的诊断中也起到重要作用。,超声诊断,bridge_subgraph_00007.graphml,bridge_subgraph_00007.txt,1/output_queries_part_1.csv
CM_bridge_star_000006,CM,medicine,bridge_star,在诊断和治疗胆道系统疾病时，医生通常会使用一种检查方法来确认是否有胆道结石或局限型GBA，同时这种方法也常用于排查肝胆管结石和胆总管结石。请问，您能告诉我这种检查是什么吗？,腹腔镜联合纤维胆道镜,bridge_subgraph_00003.graphml,bridge_subgraph_00003.txt,1/output_queries_part_1.csv
CM_bridge_star_000007,CM,medicine,bridge_star,在治疗急性髓系白血病（AML）或使用J591药物时，如果患者还同时患有慢性乙型肝炎或结肠癌，医生通常会建议进行什么检查来评估患者的整体健康状况和治疗效果？,流式细胞术分析,bridge_subgraph_00002.graphml,bridge_subgraph_00002.txt,1/output_queries_part_1.csv
CM_bridge_star_000008,CM,medicine,bridge_star,在治疗膀胱癌或肝癌的过程中，医生通常会推荐患者进行什么检查，以确保塞来昔布或噻莱昔布的用药安全和效果？,celecoxib,bridge_subgraph_00013.graphml,bridge_subgraph_00013.txt,1/output_queries_part_1.csv
CM_bridge_star_000009,CM,medicine,bridge_star,我最近在感染科就诊时，医生提到有一个指标需要检查，这个指标与苷力康的治疗效果有很大关系，而且在肝硬化和川崎病患者的检查中也常常会出现。请问这个检查具体指的是什么？,谷草转氨酶(AST),bridge_subgraph_00008.graphml,bridge_subgraph_00008.txt,1/output_queries_part_1.csv
CM_bridge_star_000010,CM,medicine,bridge_star,在诊断腹部闭合性损伤或空腔脏器破裂时，通常使用哪种影像学检查？另外，这种检查方法也常用于评估新生儿缺氧缺血性脑病和精神分裂症的病情，您能告诉我是哪种检查吗？,超声诊断,bridge_subgraph_00004.graphml,bridge_subgraph_00004.txt,1/output_queries_part_1.csv
CM_bridge_star_000011,CM,medicine,bridge_star,在诊断新生儿脑损伤和缺氧缺血性脑病（HIE）时，除了使用NBNA评分来评估婴儿的神经行为状况，我们通常还会采用哪种无创的影像学检查方法？,早产,bridge_subgraph_00001.graphml,bridge_subgraph_00001.txt,1/output_queries_part_1.csv
CM_bridge_star_000012,CM,medicine,bridge_star,我最近在体检时发现右面部和左颈部各有一个结节，医生建议我进行进一步的实验室检查。另外，我之前被诊断出有十二指肠溃疡，并且有过出血的情况。您认为这些症状之间是否可能与某种特定的疾病有关？,血尿粪常规,bridge_subgraph_00006.graphml,bridge_subgraph_00006.txt,1/output_queries_part_1.csv
CM_bridge_star_000013,CM,medicine,bridge_star,医生，我最近做了一些检查，结果显示我有重度积水，并且可能存在TFCC损伤。此外，医生提到我可能还面临脑梗死和原发性肝癌的风险。请问我应该进行哪种影像学检查来进一步确认这些问题的具体状况呢？,超声诊断,bridge_subgraph_00011.graphml,bridge_subgraph_00011.txt,1/output_queries_part_1.csv
CM_bridge_star_000014,CM,medicine,bridge_star,我最近在体检时发现尿液中的MCP-1指标偏高，并且超声检查也显示了一些异常。医生提到这可能与一种常见的代谢性疾病有关，您能告诉我这种情况最有可能提示的疾病是什么吗？,糖尿病,bridge_subgraph_00014.graphml,bridge_subgraph_00014.txt,1/output_queries_part_1.csv
CM_bridge_star_000015,CM,medicine,bridge_star,在检查肺癌和肝纤维化时，通常需要关注哪些重要的实验室指标，尤其是那些与血小板数量和炎症反应相关的项目？,Kruskal-Wallis检验,bridge_subgraph_00024.graphml,bridge_subgraph_00024.txt,1/output_queries_part_1.csv
CM_bridge_star_000016,CM,medicine,bridge_star,在进行巨输尿管和EFE的影像学检查时，通常还需要涉及哪些科室的影像学检查，特别是与糖尿病相关的检查呢？,超声诊断,bridge_subgraph_00022.graphml,bridge_subgraph_00022.txt,1/output_queries_part_1.csv
CM_bridge_star_000017,CM,medicine,bridge_star,医生，我最近在体检中发现耳朵听力下降，并且乙肝表面抗原是阳性。此外，我还被诊断为甲状腺乳头状癌和慢性乙型肝炎。您认为我应该做什么检查来全面评估我的健康状况呢？,荧光PCR法,bridge_subgraph_00005.graphml,bridge_subgraph_00005.txt,1/output_queries_part_1.csv
CM_bridge_star_000018,CM,medicine,bridge_star,如果我发现家族里有好几个人都是FH阳性，并且他们还同时有高血压和颈动脉硬化的症状，医生通常会建议我做什么检查来评估心血管疾病的风险呢？,回声跟踪技术,bridge_subgraph_00017.graphml,bridge_subgraph_00017.txt,1/output_queries_part_1.csv
CM_bridge_star_000019,CM,medicine,bridge_star,如果在身体检查中发现乳腺有囊实性包块和主动脉弓的问题，并且患者还出现了脑梗死和糖尿病的迹象，通常应该做哪种影像学检查来进一步确认病情呢？,超声诊断,bridge_subgraph_00018.graphml,bridge_subgraph_00018.txt,1/output_queries_part_1.csv
CM_bridge_star_000020,CM,medicine,bridge_star,我想请教一下，对于一位女性患者，如果她同时有不典型子宫腺肌病和异型增生结节，并且还出现了结节性甲状腺肿和原发性输卵管癌的症状，医生通常会建议做什么检查来进一步明确诊断呢？,超声造影图像,bridge_subgraph_00021.graphml,bridge_subgraph_00021.txt,1/output_queries_part_1.csv
