id,dataset,domain,structure,query,answer,evidence_graphml,evidence_text,source_file
FB_star_2hop_000001,FB,freebase,star_2hop,Which country contains both Oceanside in California and College Park with an Official Website?,United States of America,batch_000/star_2hop_00001.graphml,batch_000/star_2hop_00001.txt,output_queries_part_1.csv
FB_star_2hop_000002,FB,freebase,star_2hop,"Peterborough United F.C. has the relation 'Sports' sport' with Football, and Charlton Athletic F.C. lists Goalkeeper as a roster position; which playing position has players from Peterborough United F.C. and Charlton Athletic F.C.?",Forward,batch_000/star_2hop_00002.graphml,batch_000/star_2hop_00002.txt,output_queries_part_1.csv
FB_star_2hop_000003,FB,freebase,star_2hop,"Jeff Lynne has the profession Multi-instrumentalist-GB, and Lily Allen has the relation 'Person's gender' with Female; taken together, what do these details indicate?",Guitar,batch_000/star_2hop_00003.graphml,batch_000/star_2hop_00003.txt,output_queries_part_1.csv
FB_star_2hop_000004,FB,freebase,star_2hop,"Hapoel Be'er Sheva F.C. lists Forward as a roster position, and 1. FC Union Berlin has the relation 'Sports' sport' with Football; which playing position has players from Hapoel Be'er Sheva F.C. and 1. FC Union Berlin?",Defender,batch_000/star_2hop_00004.graphml,batch_000/star_2hop_00004.txt,output_queries_part_1.csv
FB_star_2hop_000005,FB,freebase,star_2hop,"What position includes players from Lille OSC, uses Blue as a color, includes players from the Algeria national football team, and has connections with Portsmouth F.C. in the World Cup squad?",Midfielder,batch_000/star_2hop_00005.graphml,batch_000/star_2hop_00005.txt,output_queries_part_1.csv
FB_star_2hop_000006,FB,freebase,star_2hop,"University of Louisiana at Monroe has Tim McGraw among its students or graduates, and Washington and Lee University has the relation 'Organization's registered with' with Internal Revenue Service; taken together, what do these details indicate?",President,batch_000/star_2hop_00006.graphml,batch_000/star_2hop_00006.txt,output_queries_part_1.csv
FB_star_2hop_000007,FB,freebase,star_2hop,"Bolton Wanderers F.C. uses White as a color, and FC Banants lists Forward as a roster position; which playing position has players from Bolton Wanderers F.C. and FC Banants?",Goalkeeper,batch_000/star_2hop_00007.graphml,batch_000/star_2hop_00007.txt,output_queries_part_1.csv
FB_star_2hop_000008,FB,freebase,star_2hop,"Art Center College of Design is classified as a College, and Seoul National University has Dentistry-GB among its students or graduates; taken together, what do these details indicate?",Bachelor of Arts,batch_000/star_2hop_00008.graphml,batch_000/star_2hop_00008.txt,output_queries_part_1.csv
FB_star_2hop_000009,FB,freebase,star_2hop,"Which country contains both Blackpool, which has Blackpool F.C. as a sports team, and Oxford, which is in the Greenwich Mean Time Zone?",United Kingdom,batch_000/star_2hop_00009.graphml,batch_000/star_2hop_00009.txt,output_queries_part_1.csv
FB_star_2hop_000010,FB,freebase,star_2hop,"Orange County contains Fullerton, and Chester has the relation 'Location's capital of' with Cheshire; taken together, what do these details indicate?",Marriage,batch_000/star_2hop_00010.graphml,batch_000/star_2hop_00010.txt,output_queries_part_1.csv
FB_star_2hop_000011,FB,freebase,star_2hop,"Kris Kristofferson appears in or is credited on the film Blade II, and Buckethead has the relation 'Artist's track contributions' with Guitar; taken together, what do these details indicate?",Piano,batch_000/star_2hop_00011.graphml,batch_000/star_2hop_00011.txt,output_queries_part_1.csv
FB_star_2hop_000012,FB,freebase,star_2hop,"What genre includes both The Mission, which is credited on the film Special Effects Supervisor, and The Pursuit of Happyness, which is from the United States of America?",Drama,batch_000/star_2hop_00012.graphml,batch_000/star_2hop_00012.txt,output_queries_part_1.csv
FB_star_2hop_000013,FB,freebase,star_2hop,"Chad Hugo has the relation 'Music's membership' with Lead guitar, and Amy Grant has the relation 'Person's places lived' with Nashville; taken together, what do these details indicate?",Keyboard,batch_000/star_2hop_00013.graphml,batch_000/star_2hop_00013.txt,output_queries_part_1.csv
FB_star_2hop_000014,FB,freebase,star_2hop,"Ohio State University has Physics among its students or graduates, and The University of Hong Kong has the relation 'Award's appears in ranked lists' with Times Higher Education World University Rankings; taken together, what do these details indicate?",Bachelor of Science,batch_000/star_2hop_00014.graphml,batch_000/star_2hop_00014.txt,output_queries_part_1.csv
FB_star_2hop_000015,FB,freebase,star_2hop,"What instrument is played by both Todd Rundgren, who has an Official Website, and Phil Collins, who contributes handclaps to tracks?",Bass guitar,batch_000/star_2hop_00015.graphml,batch_000/star_2hop_00015.txt,output_queries_part_1.csv
FB_star_2hop_000016,FB,freebase,star_2hop,"Tina Turner received a nomination for Larry Klein, and Bono has the relation 'Artist's track contributions' with Piano; taken together, what do these details indicate?",Rock music,batch_000/star_2hop_00016.graphml,batch_000/star_2hop_00016.txt,output_queries_part_1.csv
FB_star_2hop_000017,FB,freebase,star_2hop,"Sayonara appears in or is credited on the film Ted Haworth, and The Last Emperor has the relation 'Award's awards won' with Academy Award for Best Original Music Score; taken together, which award or person do these details indicate?",Academy Award for Best Picture,batch_000/star_2hop_00017.graphml,batch_000/star_2hop_00017.txt,output_queries_part_1.csv
FB_star_2hop_000018,FB,freebase,star_2hop,"Eastern Illinois University has Political Science among its students or graduates, and Biochemistry has Psychology among its students or graduates; taken together, what do these details indicate?",Bachelor's degree,batch_000/star_2hop_00018.graphml,batch_000/star_2hop_00018.txt,output_queries_part_1.csv
FB_star_2hop_000019,FB,freebase,star_2hop,"What genre of music includes artists like Heart, who originated from Vancouver, and Burt Bacharach, who was born in Kansas City?",Pop music,batch_000/star_2hop_00019.graphml,batch_000/star_2hop_00019.txt,output_queries_part_1.csv
FB_star_2hop_000020,FB,freebase,star_2hop,"Goldie Hawn received a nomination for BAFTA Award for Best Actress in a Leading Role, and Richard Benjamin appears in or is credited on the film Deconstructing Harry; taken together, what do these details indicate?",Jewish people,batch_000/star_2hop_00020.graphml,batch_000/star_2hop_00020.txt,output_queries_part_1.csv
