id,dataset,domain,structure,query,answer,evidence_graphml,evidence_text,source_file
FB_bridge_star_000001,FB,freebase,bridge_star,"Can you tell me which country is a republic, a member of the United Nations, participated in the 2008 Summer Olympics, and also won medals in the 2012 Summer Olympics?",Dominican Republic,subgraphs_batch_001_textual_subgraph_0013.graphml,subgraphs_batch_001_textual_subgraph_0013.txt,1/output_queries_part_1.csv
FB_bridge_star_000002,FB,freebase,bridge_star,"Can you tell me which country was a member of the League of Nations and also took part in both the 2004 and 2008 Summer Olympics, winning medals in 2004?",Dominican Republic,subgraphs_batch_001_textual_subgraph_0033.graphml,subgraphs_batch_001_textual_subgraph_0033.txt,1/output_queries_part_1.csv
FB_bridge_star_000003,FB,freebase,bridge_star,Can you tell me which country that was a member of the League of Nations participated in the 2012 Summer Olympics and has won both silver and bronze medals in the Olympics?,Dominican Republic,subgraphs_batch_001_textual_subgraph_0012.graphml,subgraphs_batch_001_textual_subgraph_0012.txt,1/output_queries_part_1.csv
FB_bridge_star_000004,FB,freebase,bridge_star,"What sport is linked to athletes who participated in the Summer Olympics of 1984, 1988, and 2012, and has ties to Ukraine?",Dressage,subgraphs_batch_001_textual_subgraph_0088.graphml,subgraphs_batch_001_textual_subgraph_0088.txt,1/output_queries_part_1.csv
FB_bridge_star_000005,FB,freebase,bridge_star,"I'm looking for an event that includes athletes from Russia and features sports such as Greco-Roman wrestling, Judo, and Artistic gymnastics.",2012 Summer Olympics,subgraphs_batch_001_textual_subgraph_0065.graphml,subgraphs_batch_001_textual_subgraph_0065.txt,1/output_queries_part_1.csv
FB_bridge_star_000006,FB,freebase,bridge_star,I'm looking for an Olympic sport that is linked to both the Czech Republic and South Korea and has appeared in the Summer Olympics of 2012 and 1984.,Modern pentathlon,subgraphs_batch_001_textual_subgraph_0074.graphml,subgraphs_batch_001_textual_subgraph_0074.txt,1/output_queries_part_1.csv
FB_bridge_star_000007,FB,freebase,bridge_star,"Can you tell me which country was part of the League of Nations, had athletes participating in the 2012 Summer Olympics, and achieved both bronze and silver medals in those games?",Dominican Republic,subgraphs_batch_001_textual_subgraph_0090.graphml,subgraphs_batch_001_textual_subgraph_0090.txt,1/output_queries_part_1.csv
FB_bridge_star_000008,FB,freebase,bridge_star,Can you tell me which event is linked to both alpine skiing and snowboarding and has given out silver and gold medals during the Olympics?,1998 Winter Olympics,subgraphs_batch_001_textual_subgraph_0036.graphml,subgraphs_batch_001_textual_subgraph_0036.txt,1/output_queries_part_1.csv
FB_bridge_star_000009,FB,freebase,bridge_star,"Can you tell me which country, known for its unique marriage customs, took part in the 1984 Summer Olympics and was also featured in the film 'Ice Age: Continental Drift'?",Dominican Republic,subgraphs_batch_001_textual_subgraph_0093.graphml,subgraphs_batch_001_textual_subgraph_0093.txt,1/output_queries_part_1.csv
FB_bridge_star_000010,FB,freebase,bridge_star,"Can you tell me which country is a member of the League of Nations, has Santo Domingo as a city, took part in the 2008 Summer Olympics, and earned medals in the 1984 Summer Olympics?",Dominican Republic,subgraphs_batch_001_textual_subgraph_0035.graphml,subgraphs_batch_001_textual_subgraph_0035.txt,1/output_queries_part_1.csv
FB_bridge_star_000011,FB,freebase,bridge_star,"Can you tell me which country was part of the League of Nations, had athletes participate in the 2012 Summer Olympics, is linked to shooting sports in the Olympics, and has achieved a gold medal in the Olympics?",Dominican Republic,subgraphs_batch_001_textual_subgraph_0049.graphml,subgraphs_batch_001_textual_subgraph_0049.txt,1/output_queries_part_1.csv
FB_bridge_star_000012,FB,freebase,bridge_star,"Can you tell me which country won medals at the 1984 Summer Olympics, is a member of the World Bank, and has connections to the film Skyfall and notable marriages?",Dominican Republic,subgraphs_batch_001_textual_subgraph_0063.graphml,subgraphs_batch_001_textual_subgraph_0063.txt,1/output_queries_part_1.csv
FB_bridge_star_000013,FB,freebase,bridge_star,I'm looking for an Olympic sport that includes athletes from both the United States and Azerbaijan and was part of the Summer Olympics in 2008 and 2012.,Rhythmic gymnastics,subgraphs_batch_001_textual_subgraph_0077.graphml,subgraphs_batch_001_textual_subgraph_0077.txt,1/output_queries_part_1.csv
FB_bridge_star_000014,FB,freebase,bridge_star,I'm looking for the event that had both Denmark and the United Kingdom as participating countries and awarded a bronze medal in swimming.,1896 Summer Olympics,subgraphs_batch_001_textual_subgraph_0062.graphml,subgraphs_batch_001_textual_subgraph_0062.txt,1/output_queries_part_1.csv
