id,dataset,domain,structure,query,answer,evidence_graphml,evidence_text,source_file
UD_single_edge_000001,UD,psychology,single_edge,"What can be a protective factor for children of divorce, offering a balance between JOINT CUSTODY and potential negative outcomes?",SOLE CUSTODY,batch_000/single_edge_00001.graphml,batch_000/single_edge_00001.txt,output_queries_part_1.csv
UD_single_edge_000002,UD,biography,single_edge,"Who is one of the central figures in the WEDDING, which is a significant event in her life?",EDIE,batch_000/single_edge_00002.graphml,batch_000/single_edge_00002.txt,output_queries_part_1.csv
UD_single_edge_000003,UD,politics,single_edge,What policy objective do MARKET-ORIENTED REGULATIONS aim to achieve?,GHG EMISSIONS,batch_000/single_edge_00003.graphml,batch_000/single_edge_00003.txt,output_queries_part_1.csv
UD_single_edge_000004,UD,biography,single_edge,What did Truman Capote describe ANDY WARHOL as during that time?,"LONELIEST, MOST FRIENDLESS PERSON",batch_000/single_edge_00004.graphml,batch_000/single_edge_00004.txt,output_queries_part_1.csv
UD_single_edge_000005,UD,psychology,single_edge,What activity may be included when following DIETARY GUIDELINES?,WALKING,batch_000/single_edge_00005.graphml,batch_000/single_edge_00005.txt,output_queries_part_1.csv
UD_single_edge_000006,UD,fiction,single_edge,Who is the brother of NATALIE WAITE?,NATALIE'S BROTHER,batch_000/single_edge_00006.graphml,batch_000/single_edge_00006.txt,output_queries_part_1.csv
UD_single_edge_000007,UD,literature,single_edge,What does SHARIF believe is present in his stomach and within every person?,SATAN,batch_000/single_edge_00007.graphml,batch_000/single_edge_00007.txt,output_queries_part_1.csv
UD_single_edge_000008,UD,biography,single_edge,What did HERALDO DE MEXICO report on involving a shooting and death?,KERLOR,batch_000/single_edge_00008.graphml,batch_000/single_edge_00008.txt,output_queries_part_1.csv
UD_single_edge_000009,UD,politics,single_edge,What has the CONSTITUTION been a subject of debate and interpretation in relation to?,POPULISM,batch_000/single_edge_00009.graphml,batch_000/single_edge_00009.txt,output_queries_part_1.csv
UD_single_edge_000010,UD,art,single_edge,Which author wrote parts of 'On the Road' in MANHATTAN?,KEROUAC,batch_000/single_edge_00010.graphml,batch_000/single_edge_00010.txt,output_queries_part_1.csv
UD_single_edge_000011,UD,physics,single_edge,What group met at a location on BOLTZMANNGASSE?,VIENNA CIRCLE,batch_000/single_edge_00011.graphml,batch_000/single_edge_00011.txt,output_queries_part_1.csv
UD_single_edge_000012,UD,history,single_edge,What was essential to the development of the BRITISH ECONOMY?,CREDIT,batch_000/single_edge_00012.graphml,batch_000/single_edge_00012.txt,output_queries_part_1.csv
UD_single_edge_000013,UD,biography,single_edge,What role did the UNION MEMBER mention in handling banking discrepancies categorized as work performance issues?,AUDITOR,batch_000/single_edge_00013.graphml,batch_000/single_edge_00013.txt,output_queries_part_1.csv
UD_single_edge_000014,UD,biology,single_edge,What adaptation did COELACANTHS develop for biting and holding food?,JAW,batch_000/single_edge_00014.graphml,batch_000/single_edge_00014.txt,output_queries_part_1.csv
UD_single_edge_000015,UD,mathematics,single_edge,What is true for a reasoner when MODAL SENTENCE X is interpreted as belief by the reasoner?,TRUE FOR A REASONER,batch_000/single_edge_00015.graphml,batch_000/single_edge_00015.txt,output_queries_part_1.csv
UD_single_edge_000016,UD,health,single_edge,"Who views LYME DISEASE as a parallel to the autism debate, highlighting a broader issue of medical corruption?",TAYLOR,batch_000/single_edge_00016.graphml,batch_000/single_edge_00016.txt,output_queries_part_1.csv
UD_single_edge_000017,UD,cs,single_edge,"What can record the movements involved in WALKING, which include swinging the hand back and forth?",ACCELEROMETERS,batch_000/single_edge_00017.graphml,batch_000/single_edge_00017.txt,output_queries_part_1.csv
UD_single_edge_000018,UD,politics,single_edge,Which organization ranks Russia's CORRUPTION LEVEL RANKING high?,TRANSPARENCY INTERNATIONAL,batch_000/single_edge_00018.graphml,batch_000/single_edge_00018.txt,output_queries_part_1.csv
UD_single_edge_000019,UD,health,single_edge,What is the focus of the policy aimed at reducing consumption and improving public health through TAXING?,SUGARY BEVERAGES,batch_000/single_edge_00019.graphml,batch_000/single_edge_00019.txt,output_queries_part_1.csv
UD_single_edge_000020,UD,biography,single_edge,"What significant location was involved in EWING's challenge to the political decisions, including the capital move?",SPRINGFIELD,batch_000/single_edge_00020.graphml,batch_000/single_edge_00020.txt,output_queries_part_1.csv
