id,dataset,domain,structure,query,answer,evidence_graphml,evidence_text,source_file
FB_path_4_000001,FB,freebase,path_4,"Minnesota Wild is connected to which playing position, given that that playing position includes players from St. John's IceCaps, and St. John's IceCaps lists Defenseman as a roster position?",Centerman,batch_000/path_4_00001.graphml,batch_000/path_4_00001.txt,output_queries_part_1.csv
FB_path_4_000002,FB,freebase,path_4,"Which film is Billie Whitelaw connected to, given that that film uses Latin Language as a language, and Latin Language has History among its students or graduates?",Quills,batch_000/path_4_00002.graphml,batch_000/path_4_00002.txt,output_queries_part_1.csv
FB_path_4_000003,FB,freebase,path_4,"Uttarakhand is tied to which country, given that that country has the relation 'Organization's member of' with World Bank, and World Bank has the relation 'Entity's organization extra' with French Language?",India,batch_000/path_4_00003.graphml,batch_000/path_4_00003.txt,output_queries_part_1.csv
FB_path_4_000004,FB,freebase,path_4,"73rd Academy Awards is connected to which award or person, given that that award or person received a nomination for Catherine Keener, and Catherine Keener has the relation 'Person's places lived' with Florida?",Marcia Gay Harden,batch_000/path_4_00004.graphml,batch_000/path_4_00004.txt,output_queries_part_1.csv
FB_path_4_000005,FB,freebase,path_4,"Panserraikos FC is connected to which playing position, given that that playing position includes players from Club Olimpia, and Club Olimpia lists Goalkeeper as a roster position?",Midfielder,batch_000/path_4_00005.graphml,batch_000/path_4_00005.txt,output_queries_part_1.csv
FB_path_4_000006,FB,freebase,path_4,"Tajikistan is connected to what, given that that item contains Peking University, and Peking University has Official Website as its webpage category?",China,batch_000/path_4_00006.graphml,batch_000/path_4_00006.txt,output_queries_part_1.csv
FB_path_4_000007,FB,freebase,path_4,"Baritone is connected to what, given that that item is played by Marcus Miller, and Marcus Miller has the profession Record producer-GB?",Clarinet,batch_000/path_4_00007.graphml,batch_000/path_4_00007.txt,output_queries_part_1.csv
FB_path_4_000008,FB,freebase,path_4,"2003 invasion of Iraq is connected to what, given that that item has the country Lackawanna County, and Lackawanna County is in Eastern Time Zone?",United States of America,batch_000/path_4_00008.graphml,batch_000/path_4_00008.txt,output_queries_part_1.csv
FB_path_4_000009,FB,freebase,path_4,"Entertainment Tonight is connected to what, given that that item has the relation 'TV's tv programs' with Saturday Night Live, and Saturday Night Live has the relation 'Award's awards won' with Dana Carvey?",Bill Murray,batch_000/path_4_00009.graphml,batch_000/path_4_00009.txt,output_queries_part_1.csv
FB_path_4_000010,FB,freebase,path_4,"Sherlock is connected to what, given that that item has the relation 'Person's spouse s' with Marriage, and Marriage has the relation 'Person's unions of this type' with Santa Monica?",Mark Gatiss,batch_000/path_4_00010.graphml,batch_000/path_4_00010.txt,output_queries_part_1.csv
FB_path_4_000011,FB,freebase,path_4,"Which film is Beauty and the Beast connected to, given that that language has Mary McCormack among its students or graduates, and Mary McCormack received a nomination for Martin Sheen?",English Language,batch_000/path_4_00011.graphml,batch_000/path_4_00011.txt,output_queries_part_1.csv
FB_path_4_000012,FB,freebase,path_4,"Beverly D'Angelo is connected to what, given that that item has the country United States of America, and United States of America contains Worcester?",Shaquille O'Neal,batch_000/path_4_00012.graphml,batch_000/path_4_00012.txt,output_queries_part_1.csv
FB_path_4_000013,FB,freebase,path_4,"Which film is Contact connected to, given that that film had a military conflict with Nazi Germany, and Nazi Germany had a military conflict with Slovakia?",Croatia,batch_000/path_4_00013.graphml,batch_000/path_4_00013.txt,output_queries_part_1.csv
FB_path_4_000014,FB,freebase,path_4,"Which nominated work did John Frink receive recognition for, given that that work has the relation 'TV's regular cast' with Nancy Cartwright and Nancy Cartwright has the profession Actor-GB?",The Simpsons,batch_000/path_4_00014.graphml,batch_000/path_4_00014.txt,output_queries_part_1.csv
FB_path_4_000015,FB,freebase,path_4,"Wolfgang Amadeus Mozart is connected to what, given that that item has the relation 'Travel's climate' with January, and January has the relation 'Entity's seasonal month' with August?",Vienna,batch_000/path_4_00015.graphml,batch_000/path_4_00015.txt,output_queries_part_1.csv
FB_path_4_000016,FB,freebase,path_4,"Which film is Think Like A Man connected to, given that that film has the relation 'Media's titles' with Anne of the Thousand Days, and Anne of the Thousand Days appears in or is credited on the film Hal B. Wallis?",United Kingdom,batch_000/path_4_00016.graphml,batch_000/path_4_00016.txt,output_queries_part_1.csv
FB_path_4_000017,FB,freebase,path_4,"Amanda Peet is connected to what, given that that item contains Manhattan, and Manhattan contains Hunter College?",New York City,batch_000/path_4_00017.graphml,batch_000/path_4_00017.txt,output_queries_part_1.csv
FB_path_4_000018,FB,freebase,path_4,"Which film is The Imaginarium of Dr. Parnassus connected to, given that that film received a nomination for Golden Globe Award for Best Original Score, and Golden Globe Award for Best Original Score has the relation 'Award's nominees' with The Music Man?",Mychael Danna,batch_000/path_4_00018.graphml,batch_000/path_4_00018.txt,output_queries_part_1.csv
FB_path_4_000019,FB,freebase,path_4,"Phoenix Coyotes is connected to which playing position, given that that playing position includes players from Philadelphia Flyers, and Philadelphia Flyers has the relation 'Sports' sport' with Ice Hockey?",Defenseman,batch_000/path_4_00019.graphml,batch_000/path_4_00019.txt,output_queries_part_1.csv
FB_path_4_000020,FB,freebase,path_4,What program was Sherri Shepherd nominated for that has Barbara Walters as its TV's program creator and is also nominated for the Daytime Emmy Award for Outstanding Talk Show?,The View,batch_000/path_4_00020.graphml,batch_000/path_4_00020.txt,output_queries_part_1.csv
