id,dataset,domain,structure,query,answer,evidence_graphml,evidence_text,source_file
UD_bridge_star_000001,UD,agriculture,bridge_star,What category is crucial for the extraction of honey during the beekeeping process?,"""BEEKEEPING""",bridge_structure_003.graphml,bridge_structure_003.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000002,UD,agriculture,bridge_star,"What category is associated with 'ANNUAL BEE SCHOOLS', and what is its connection to 'LOCAL BEEKEEPERS'' and 'WORKER BEE'?","""BEEKEEPING""",bridge_structure_001.graphml,bridge_structure_001.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000003,UD,agriculture,bridge_star,What type of beekeeper needs to adjust to the presence of Africanized bees?,"""BEEKEEPERS""",bridge_structure_012.graphml,bridge_structure_012.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000004,UD,agriculture,bridge_star,"What organ is overseen by a beekeeper, develops from a larva, plays a role in reproduction within the hive, and has health benefits for humans?","""QUEEN""",bridge_structure_016.graphml,bridge_structure_016.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000005,UD,agriculture,bridge_star,What FOOD do beekeepers produce through management and extraction that requires temperature control for maintaining quality?,"""HONEY""",bridge_structure_005.graphml,bridge_structure_005.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000006,UD,agriculture,bridge_star,What category is associated with the practice of maintaining bees in an apiary and producing honey by beekeepers?,"""BEEKEEPING""",bridge_structure_006.graphml,bridge_structure_006.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000007,UD,agriculture,bridge_star,"What category encompasses activities like swarming, beekeeping, and pollination?","""BEEKEEPING""",bridge_structure_008.graphml,bridge_structure_008.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000008,UD,agriculture,bridge_star,What do you call a person who maintains and inspects hives to ensure the health of bee colonies and control Varroa mite infestations?,"""BEEKEEPERS""",bridge_structure_013.graphml,bridge_structure_013.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000009,UD,agriculture,bridge_star,What category is crucial for both honey extraction and the management of bee colonies in beekeeping?,"""BEEKEEPING""",bridge_structure_007.graphml,bridge_structure_007.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000010,UD,agriculture,bridge_star,What VEGETABLE has been studied by Johnstone-Wallace in relation to GRASS HEIGHT and HERD activity?,"""SWARD""",bridge_structure_015.graphml,bridge_structure_015.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000011,UD,agriculture,bridge_star,"What organ is essential for bees to carry out pollination, cope with daily die-offs and extreme weather, and assist beekeepers in their work?","""BEES""",bridge_structure_002.graphml,bridge_structure_002.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000012,UD,agriculture,bridge_star,"What category is essential for the growth of plants and the classification of vegetation, such as grass, along with the nutrient needs of nitrogen and phosphate?","""VEGETATION""",bridge_structure_009.graphml,bridge_structure_009.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000013,UD,agriculture,bridge_star,"What MEDICAL_DEVICE is utilized for enclosing paddocks to facilitate animal grazing, managing pasture areas, and controlling sheep movement in the fields of agriculture and animal husbandry?","""ELECTRIC FENCE""",bridge_structure_025.graphml,bridge_structure_025.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000014,UD,agriculture,bridge_star,"What organ is essential for bees' nourishment and survival, particularly when forage is limited, as it receives food from the feeder and is protected within the hive for resources?","""BEES""",bridge_structure_010.graphml,bridge_structure_010.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000015,UD,agriculture,bridge_star,"What organ plays a key role in the ecological and agricultural activities related to cows that graze on pastures, where their hooves affect the grass, peasant women observe their milk production, and their feeding influences the roots of herbage plants?","""COW""",bridge_structure_031.graphml,bridge_structure_031.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000016,UD,agriculture,bridge_star,"What category encompasses early hives, worker bees, and beekeepers involved in the practice of beekeeping?","""BEEKEEPING""",bridge_structure_004.graphml,bridge_structure_004.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000017,UD,agriculture,bridge_star,What GEO is associated with Jean Fabulet-Laine's practice of rotational grazing on pastures that consist of paddocks and grass?,"""PASTURE""",bridge_structure_019.graphml,bridge_structure_019.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000018,UD,agriculture,bridge_star,"What event is characterized by the involvement of bees, beekeeping, and the pollination of plants, where bees act as the primary agents and worker bees play a role in plant reproduction?","""POLLINATION""",bridge_structure_017.graphml,bridge_structure_017.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000019,UD,agriculture,bridge_star,"What EVENT is associated with continuous grazing practices that involve untoward acceleration and longer occupation periods, while also impacting pasture and grassland rotation?","""CONTINUOUS GRAZING""",bridge_structure_023.graphml,bridge_structure_023.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
UD_bridge_star_000020,UD,agriculture,bridge_star,"What organ is crucial for a bee colony to sustain its activities and survive through the winter, given that the hive offers protection, honey acts as food and energy, and the colony's population influences the cluster's warmth maintenance?","""COLONY OF BEES""",bridge_structure_011.graphml,bridge_structure_011.txt,ultradomain/agriculture/query-1/output_queries_part_1.csv
