id,dataset,domain,structure,query,answer,evidence_graphml,evidence_text,source_file
FB_cycle_000001,FB,freebase,cycle,"John Larroquette received a nomination for William Shatner, William Shatner received a nomination for The Practice, and The Practice has the relation 'Award's awards won' with John Larroquette; who is also nominated by John Larroquette and William Shatner?",James Spader,batch_000/cycle_00001.graphml,batch_000/cycle_00001.txt,output_queries_part_1.csv
FB_cycle_000002,FB,freebase,cycle,"John Larroquette received a nomination for William Shatner, William Shatner received a nomination for Julie Bowen, and Julie Bowen received a nomination for John Larroquette; who was also nominated by John Larroquette, William Shatner, and Julie Bowen?",Taraji P. Henson,batch_000/cycle_00002.graphml,batch_000/cycle_00002.txt,output_queries_part_1.csv
FB_cycle_000003,FB,freebase,cycle,"John Larroquette received a nomination for William Shatner, William Shatner received a nomination for Julie Bowen, Julie Bowen received a nomination for Candice Bergen, and Candice Bergen received a nomination for John Larroquette; in this setting, which person or award satisfies the shared condition?",Boston Legal,batch_000/cycle_00003.graphml,batch_000/cycle_00003.txt,output_queries_part_1.csv
FB_cycle_000004,FB,freebase,cycle,"John Larroquette received a nomination for William Shatner, William Shatner received a nomination for James Spader, James Spader received a nomination for Candice Bergen, and Candice Bergen received a nomination for John Larroquette; what do they all share in terms of their personal relationships?",Marriage,batch_000/cycle_00004.graphml,batch_000/cycle_00004.txt,output_queries_part_1.csv
FB_cycle_000005,FB,freebase,cycle,"John Larroquette received a nomination for James Spader, James Spader received a nomination for Taraji P. Henson, Taraji P. Henson received a nomination for Julie Bowen, and Julie Bowen received a nomination for John Larroquette; who was nominated by all of them?",Candice Bergen,batch_000/cycle_00005.graphml,batch_000/cycle_00005.txt,output_queries_part_1.csv
FB_cycle_000006,FB,freebase,cycle,"John Larroquette received a nomination for James Spader, James Spader received a nomination for William Shatner, and William Shatner received a nomination for John Larroquette; in this context, which award did they all receive nominations for?",The Practice,batch_000/cycle_00006.graphml,batch_000/cycle_00006.txt,output_queries_part_1.csv
FB_cycle_000007,FB,freebase,cycle,"John Larroquette received a nomination for James Spader, James Spader received a nomination for Julie Bowen, and Julie Bowen received a nomination for John Larroquette; in this context, what is the profession of these individuals?",Actor-GB,batch_000/cycle_00007.graphml,batch_000/cycle_00007.txt,output_queries_part_1.csv
FB_cycle_000008,FB,freebase,cycle,"John Larroquette received a nomination for Boston Legal, Boston Legal has Candice Bergen in its regular cast, and Candice Bergen received a nomination for John Larroquette; what country is shared by all three?",United States of America,batch_000/cycle_00008.graphml,batch_000/cycle_00008.txt,output_queries_part_1.csv
FB_cycle_000009,FB,freebase,cycle,"Laurie Anderson has the relation 'Artist's track contributions' with Conch, Conch is regularly performed with harpsichord, harpsichord is regularly performed with Percussion, and Percussion is played by Laurie Anderson; in this context, which work, artist, or media-related item satisfies the shared condition?",Bell,batch_000/cycle_00009.graphml,batch_000/cycle_00009.txt,output_queries_part_1.csv
FB_cycle_000010,FB,freebase,cycle,"Laurie Anderson has the relation 'Artist's track contributions' with Electronic keyboard, Electronic keyboard has the relation 'Music's track performances' with Tabla, Tabla is regularly performed with Percussion, and Percussion is played by Laurie Anderson; in this context, which work, artist, or media-related item satisfies the shared condition?",Violin,batch_000/cycle_00010.graphml,batch_000/cycle_00010.txt,output_queries_part_1.csv
FB_cycle_000011,FB,freebase,cycle,"Laurie Anderson has the relation 'Artist's track contributions' with Violin, Violin has the relation 'Music's track performances' with Lute, Lute is regularly performed with Percussion, and Percussion is played by Laurie Anderson; in this setting, which work, artist, or media-related item satisfies the shared condition?",Electronic keyboard,batch_000/cycle_00011.graphml,batch_000/cycle_00011.txt,output_queries_part_1.csv
FB_cycle_000012,FB,freebase,cycle,"Laurie Anderson has contributed to tracks featuring Violin, which is regularly performed with Viola; Viola has performances that include Percussion, which Laurie Anderson plays; in this context, what work connects all these elements?",Conch,batch_000/cycle_00012.graphml,batch_000/cycle_00012.txt,output_queries_part_1.csv
FB_cycle_000013,FB,freebase,cycle,"Yanni has the relation 'Artist's track contributions' with Electronic keyboard, Electronic keyboard has the relation 'Music's track performances' with omnichord, omnichord is regularly performed with Synthesizer, and Synthesizer is played by Yanni; in this context, which work, artist, or media-related item satisfies the shared condition?",Piano,batch_000/cycle_00013.graphml,batch_000/cycle_00013.txt,output_queries_part_1.csv
FB_cycle_000014,FB,freebase,cycle,"Rory Gallagher has the relation 'Artist's track contributions' with slide guitar, slide guitar has the relation 'Music's track performances' with Appalachian dulcimer, Appalachian dulcimer is regularly performed with Mandolin, and Mandolin is played by Rory Gallagher; in this context, which work, artist, or media-related item satisfies the shared condition?",Guitar,batch_000/cycle_00014.graphml,batch_000/cycle_00014.txt,output_queries_part_1.csv
FB_cycle_000015,FB,freebase,cycle,"Rory Gallagher has the relation 'Music's membership' with Lead guitar, Lead guitar is regularly performed with Sampler, Sampler is regularly performed with Guitar, and Guitar is played by Rory Gallagher; in this setting, what item does Rory Gallagher contribute to as an artist's track?",slide guitar,batch_000/cycle_00015.graphml,batch_000/cycle_00015.txt,output_queries_part_1.csv
FB_cycle_000016,FB,freebase,cycle,"Union of South Africa had a military conflict with German Empire, German Empire had a military conflict with France, and France had a military conflict with Union of South Africa; in this context, which entity also had a military conflict with Union of South Africa, German Empire, and France?",United Kingdom,batch_000/cycle_00016.graphml,batch_000/cycle_00016.txt,output_queries_part_1.csv
FB_cycle_000017,FB,freebase,cycle,"Union of South Africa had a military conflict with German Empire, German Empire had a military conflict with France, France had a military conflict with British Raj, and British Raj had a military conflict with Union of South Africa; in this context, which location did all of them also have a military conflict with?",Dominion of New Zealand,batch_000/cycle_00017.graphml,batch_000/cycle_00017.txt,output_queries_part_1.csv
FB_cycle_000018,FB,freebase,cycle,"The Union of South Africa had a military conflict with the German Empire, the German Empire had a military conflict with France, France had a military conflict with Canada, and Canada had a military conflict with the Union of South Africa; in this context, which country did all of them have military conflicts with?",Australia,batch_000/cycle_00018.graphml,batch_000/cycle_00018.txt,output_queries_part_1.csv
FB_cycle_000019,FB,freebase,cycle,"The Union of South Africa had a military conflict with the German Empire, the German Empire had a military conflict with the United Kingdom, and the United Kingdom had a military conflict with the Union of South Africa; in this context, which country also experienced military conflicts with the Union of South Africa, the German Empire, and the United Kingdom?",France,batch_000/cycle_00019.graphml,batch_000/cycle_00019.txt,output_queries_part_1.csv
FB_cycle_000020,FB,freebase,cycle,"The Union of South Africa had a military conflict with Australia, Australia had a military conflict with the United Kingdom, and the United Kingdom had a military conflict with the Union of South Africa; in this context, which entity also had military conflicts with all three of them?",German Empire,batch_000/cycle_00020.graphml,batch_000/cycle_00020.txt,output_queries_part_1.csv
