id,dataset,domain,structure,query,answer,evidence_graphml,evidence_text,source_file
CM_star_2hop_000001,CM,medicine,star_2hop,在出现通气障碍、需要呼吸机辅助呼吸的情况下，气道黏液高分泌又与脾运不足有关，这种情况通常会考虑哪种疾病？,慢性阻塞性肺疾病,batch_000/star_2hop_00001.graphml,batch_000/star_2hop_00001.txt,output_queries_part_1.csv
CM_star_2hop_000002,CM,medicine,star_2hop,如果患者出现肌肉酸痛、乏力、毛刺征，并伴有咳嗽、咳痰以及咯血，通常更符合哪种疾病？,恶性肿瘤,batch_000/star_2hop_00002.graphml,batch_000/star_2hop_00002.txt,output_queries_part_1.csv
CM_star_2hop_000003,CM,medicine,star_2hop,在考虑抑郁与中枢谷氨酸释放增多的关系，同时又有肺淤血和个体化营养干预的情况下，通常会考虑哪种疾病？,慢性心力衰竭,batch_000/star_2hop_00003.graphml,batch_000/star_2hop_00003.txt,output_queries_part_1.csv
CM_star_2hop_000004,CM,medicine,star_2hop,如果一个患者出现角质形成细胞凋亡，并且与紫外线辐射有关，同时伴有焦虑状态且接受了氟哌噻吨美利曲辛治疗，这通常指向哪种疾病？,银屑病,batch_000/star_2hop_00004.graphml,batch_000/star_2hop_00004.txt,output_queries_part_1.csv
CM_star_2hop_000005,CM,medicine,star_2hop,如果一个孕妇出现糖耐量减低，且需要通过运动来改善，同时还伴有血脂升高并考虑使用枸杞油胶丸，这种情况通常会考虑什么疾病？,妊娠期糖尿病,batch_000/star_2hop_00005.graphml,batch_000/star_2hop_00005.txt,output_queries_part_1.csv
CM_star_2hop_000006,CM,medicine,star_2hop,一个患者出现疲劳、肱二头肌与肱桡肌RMS异常，同时又有心境障碍和人际关系不良，这通常考虑与哪种疾病相关？,脑胶质瘤,batch_000/star_2hop_00006.graphml,batch_000/star_2hop_00006.txt,output_queries_part_1.csv
CM_star_2hop_000007,CM,medicine,star_2hop,如果一个小孩出现神志不清、严重体液失调和反复咳嗽，同时家长使用小儿推拿配合走罐，这通常更符合什么疾病？,重症肺炎,batch_000/star_2hop_00007.graphml,batch_000/star_2hop_00007.txt,output_queries_part_1.csv
CM_star_2hop_000008,CM,medicine,star_2hop,如果患者出现眩晕并且可以通过盐酸地芬尼多缓解，同时也有缓解疼痛的表现并结合感觉聚焦，通常考虑是哪种疾病？,神经根型颈椎病,batch_000/star_2hop_00008.graphml,batch_000/star_2hop_00008.txt,output_queries_part_1.csv
CM_star_2hop_000009,CM,medicine,star_2hop,如果一个患者出现憋喘和咳嗽好转，同时伴有免疫功能受损且与非免疫因素有关，这种情况通常考虑是哪种疾病？,慢性肾脏病,batch_000/star_2hop_00009.graphml,batch_000/star_2hop_00009.txt,output_queries_part_1.csv
CM_star_2hop_000010,CM,medicine,star_2hop,在出现非心源性肺水肿、肺毛细血管通透性增高、肺萎陷以及OLV后SpO2下降的情况下，通常会考虑哪种疾病？,急性呼吸窘迫综合征,batch_000/star_2hop_00010.graphml,batch_000/star_2hop_00010.txt,output_queries_part_1.csv
