id,dataset,domain,structure,query,answer,evidence_graphml,evidence_text,source_file
UD_path_4_000001,UD,philosophy,path_4,"What is a part of LINE B, which is part of SURFACE A, where OBJECT A makes contact?",POINT M,batch_000/path_4_00001.graphml,batch_000/path_4_00001.txt,output_queries_part_1.csv
UD_path_4_000002,UD,philosophy,path_4,What concept do SCIENTISTS apply in their research that is discussed alongside M. LEROY's ideas on communication and the PRINCIPLE OF INDUCTION?,OBJECTIVITY,batch_000/path_4_00002.graphml,batch_000/path_4_00002.txt,output_queries_part_1.csv
UD_path_4_000003,UD,philosophy,path_4,What concept is discussed by M. LEROY that explores the relationship between DETERMINISM and the nature of events as examined by SCIENTISTS?,CONTINGENCE,batch_000/path_4_00003.graphml,batch_000/path_4_00003.txt,output_queries_part_1.csv
UD_path_4_000004,UD,philosophy,path_4,What philosophical position is explored by M. LEROY in relation to the PRINCIPLE of GRAVITATION?,NOMINALISM,batch_000/path_4_00004.graphml,batch_000/path_4_00004.txt,output_queries_part_1.csv
UD_path_4_000005,UD,philosophy,path_4,"What does M. LEROY's thesis suggest about the transformation of a CRUDE FACT, as illustrated by the CLOWN example?",SCIENTIFIC FACT,batch_000/path_4_00005.graphml,batch_000/path_4_00005.txt,output_queries_part_1.csv
UD_path_4_000006,UD,philosophy,path_4,What concept contrasts with PRIVATION and is described in relation to ἈΔΙΚΊΑ as influenced by ARISTOTLE?,BEING,batch_000/path_4_00006.graphml,batch_000/path_4_00006.txt,output_queries_part_1.csv
UD_path_4_000007,UD,philosophy,path_4,"What concept arises from the manipulation of the Distribution Board and involves the LAWS OF MOTION OF UNVARYING SOLIDS and FOUR DIMENSIONS, which may also relate to HERTZ'S MECHANICS?",DISTRIBUTION BOARD,batch_000/path_4_00007.graphml,batch_000/path_4_00007.txt,output_queries_part_1.csv
UD_path_4_000008,UD,philosophy,path_4,"What is central to understanding the text that discusses the relationship between LANGUAGE and TERMS, while also considering that MENTAL ACTIVITY is not solely responsible for it?",MEANING,batch_000/path_4_00008.graphml,batch_000/path_4_00008.txt,output_queries_part_1.csv
UD_path_4_000009,UD,philosophy,path_4,"What acts as a barrier to understanding the past, which is surpassed by HAVING-BEEN and is used by contemporary humans to grasp HISTORY in the context of PHILOSOPHICAL DEVELOPMENT?",HISTORIOGRAPHY,batch_000/path_4_00009.graphml,batch_000/path_4_00009.txt,output_queries_part_1.csv
UD_path_4_000010,UD,philosophy,path_4,"What is formed by the red sensations affecting a specific line on the retina, which is influenced by EYE MOVEMENTS and includes the division known as CUT C′?",RED COLOR SENSATION,batch_000/path_4_00010.graphml,batch_000/path_4_00010.txt,output_queries_part_1.csv
UD_path_4_000011,UD,philosophy,path_4,What does Riemann's geometry predict about PARALLAX when using a RULER to verify the definition of a STRAIGHT LINE?,RIEMANN'S GEOMETRY,batch_000/path_4_00011.graphml,batch_000/path_4_00011.txt,output_queries_part_1.csv
UD_path_4_000012,UD,philosophy,path_4,What comedy show aired on NBC that uses EXISTENTIALISM to analyze characters' identity formation in PHILOSOPHY?,SEINFELD,batch_000/path_4_00012.graphml,batch_000/path_4_00012.txt,output_queries_part_1.csv
UD_path_4_000013,UD,philosophy,path_4,What concept is used in HERTZ'S MECHANICS to extend the understanding of THREE DIMENSIONS in relation to SPACE?,FOUR DIMENSIONS,batch_000/path_4_00013.graphml,batch_000/path_4_00013.txt,output_queries_part_1.csv
UD_path_4_000014,UD,philosophy,path_4,"Who is the author that CHRISTIAN BIEHL is mentioned in connection with, and who is acknowledged by DR. ALFRED DUNSHIRN in the field of CLASSICAL PHILOLOGY?",PETER TRAWNY,batch_000/path_4_00014.graphml,batch_000/path_4_00014.txt,output_queries_part_1.csv
UD_path_4_000015,UD,philosophy,path_4,"Who is involved in the CONTROVERSY that discusses the PROOF that two and two make four, which aims to avoid CONTRADICTION?",LEIBNITZ,batch_000/path_4_00015.graphml,batch_000/path_4_00015.txt,output_queries_part_1.csv
UD_path_4_000016,UD,philosophy,path_4,Who contributed to the CONTROVERSY between Kant and Leibnitz and also worked alongside MR. RUSSELL in the field of LOGIC?,MR. HILBERT,batch_000/path_4_00016.graphml,batch_000/path_4_00016.txt,output_queries_part_1.csv
UD_path_4_000017,UD,philosophy,path_4,What is the philosophical view discussed in the CONTROVERSY surrounding the AXIOMS OF GEOMETRY that is foundational to the work of EUCLID?,KANT,batch_000/path_4_00017.graphml,batch_000/path_4_00017.txt,output_queries_part_1.csv
UD_path_4_000018,UD,philosophy,path_4,"Which philosopher's interpretations of LIFE are discussed in relation to RILKE's poetry, which also embodies profound thoughts on THINKING?",NIETZSCHE,batch_000/path_4_00018.graphml,batch_000/path_4_00018.txt,output_queries_part_1.csv
UD_path_4_000019,UD,philosophy,path_4,"What character embodies inane experiences and absurd conversations that are part of everyday LIFE and yields to NEWMAN's temptation, while being opposite to GEORGE?",KRAMER,batch_000/path_4_00019.graphml,batch_000/path_4_00019.txt,output_queries_part_1.csv
UD_path_4_000020,UD,philosophy,path_4,"What character from LIFE contrasts with JERRY SEINFELD in several aspects, highlighting the differences in their moral approaches and personalities, and was part of a show proposed to NBC EXECUTIVES?",NEWMAN,batch_000/path_4_00020.graphml,batch_000/path_4_00020.txt,output_queries_part_1.csv
