id,dataset,domain,structure,query,answer,evidence_graphml,evidence_text,source_file
UD_star_2hop_000001,UD,biography,star_2hop,"What figure was involved in political conflicts with ADAMS, discussions about SAMPSON'S HEIRS, and whose understanding of HONOR was tied to keeping a PROMISE?",LINCOLN,batch_000/star_2hop_00001.graphml,batch_000/star_2hop_00001.txt,output_queries_part_1.csv
UD_star_2hop_000002,UD,history,star_2hop,Who was the leader of the REICH GOVERNMENT during the time when SCHLEICHER served as Chancellor and AMBASSADOR HENDERSON was withdrawn from BERLIN?,HITLER,batch_000/star_2hop_00002.graphml,batch_000/star_2hop_00002.txt,output_queries_part_1.csv
UD_star_2hop_000003,UD,physics,star_2hop,"Who had an interest in PHILOSOPHY, explored the implications of GÖDEL's work, and supported REFUGEE SCHOLARS migrating to the UNITED STATES?",EINSTEIN,batch_000/star_2hop_00003.graphml,batch_000/star_2hop_00003.txt,output_queries_part_1.csv
UD_star_2hop_000004,UD,fiction,star_2hop,"Who is the student at COLLEGE that has a MOTHER who accompanied her on her first day and is in a relationship with ARTHUR LANGDON, who is interested in PORTIA's performance?",NATALIE,batch_000/star_2hop_00004.graphml,batch_000/star_2hop_00004.txt,output_queries_part_1.csv
UD_star_2hop_000005,UD,art,star_2hop,"Who was involved in a deep, intimate love affair with LUTZ, supported the campaign to overturn the convictions of the SCOTTSBORO BOYS TRIAL, and interacted with SCOTT FITZGERALD in HOLLYWOOD?",VAN VECHTEN,batch_000/star_2hop_00005.graphml,batch_000/star_2hop_00005.txt,output_queries_part_1.csv
UD_star_2hop_000006,UD,biography,star_2hop,"Who was central to the decisions during the SINAI CAMPAIGN that affected ISRAEL and was also the chairman of the ZIONIST EXECUTIVE, which included the HAGANAH in its efforts for independence?",BEN-GURION,batch_000/star_2hop_00006.graphml,batch_000/star_2hop_00006.txt,output_queries_part_1.csv
UD_star_2hop_000007,UD,philosophy,star_2hop,"Who sought a position at the INSTITUTE FOR SOCIAL RESEARCH and had connections with LUKÁCS, while also being discussed in relation to NEO-CLASSICAL REALISM and the SOVIET UNION?",BLOCH,batch_000/star_2hop_00007.graphml,batch_000/star_2hop_00007.txt,output_queries_part_1.csv
UD_star_2hop_000008,UD,health,star_2hop,What enhances ATHLETIC PERFORMANCE through WARM-UP activities and is also promoted by a RUNNING WHEEL for RODENTS?,EXERCISE,batch_000/star_2hop_00008.graphml,batch_000/star_2hop_00008.txt,output_queries_part_1.csv
UD_star_2hop_000009,UD,fiction,star_2hop,What is the name of the character who is concerned about the STORM affecting the FOREST near SEATTLE and discusses this with ESME?,EDWARD,batch_000/star_2hop_00009.graphml,batch_000/star_2hop_00009.txt,output_queries_part_1.csv
UD_star_2hop_000010,UD,legal,star_2hop,"What entity is responsible for the LOANS that the BORROWER must repay, while also having a relationship with an AFFILIATE and involving a LIMITED PARTNER?",COMPANY,batch_000/star_2hop_00010.graphml,batch_000/star_2hop_00010.txt,output_queries_part_1.csv
UD_star_2hop_000011,UD,literature,star_2hop,"Who does the YOUNG MAN want to see that is significant in his relationship with HERR KROGH, while also having a strained relationship with MINTY, who interacts with the WAITERS?",ANTHONY,batch_000/star_2hop_00011.graphml,batch_000/star_2hop_00011.txt,output_queries_part_1.csv
UD_star_2hop_000012,UD,philosophy,star_2hop,"What philosopher formulated FRAGMENT 45, which discusses the nature of ΨΥΧΉ and its relationship to λόγος, while also emphasizing the VERBAL MEANING of language and the role of PARTICIPLE?",HERACLITUS,batch_000/star_2hop_00012.graphml,batch_000/star_2hop_00012.txt,output_queries_part_1.csv
UD_star_2hop_000013,UD,biography,star_2hop,"What type of establishment features a MINIBAR, has removed COCA-COLA products, and is located near NINTH AVENUE where TOM went to a bar?",HOTEL,batch_000/star_2hop_00013.graphml,batch_000/star_2hop_00013.txt,output_queries_part_1.csv
UD_star_2hop_000014,UD,mathematics,star_2hop,"Who is credited with the foundational belief in NUMBER MYSTICISM, which is part of the ANCIENT LORE OF NUMBERS and considered a LINE as a segment of space that involves POINT?",PYTHAGORAS,batch_000/star_2hop_00014.graphml,batch_000/star_2hop_00014.txt,output_queries_part_1.csv
UD_star_2hop_000015,UD,philosophy,star_2hop,"What concept is foundational to METAPHYSICS, involves LOGIC as a component, and encompasses SELF-GATHERING TOWARD THE ORIGINARY FORGATHERING and SELF-OCCLUDING?",ΛΌΓΟΣ,batch_000/star_2hop_00015.graphml,batch_000/star_2hop_00015.txt,output_queries_part_1.csv
UD_star_2hop_000016,UD,technology,star_2hop,What type of analytics does ROYAL DUTCH SHELL use in the ENERGY AND PETROCHEMICAL industry that is also important for CISCO's performance improvement and is linked to VR EMPATHY TREATMENT?,WORKFORCE ANALYTICS,batch_000/star_2hop_00016.graphml,batch_000/star_2hop_00016.txt,output_queries_part_1.csv
UD_star_2hop_000017,UD,fiction,star_2hop,Who provided information about DANNY O'KEEFE's location that led FRANK DRUM to look for him during the FOURTH OF JULY PARADE?,ARIEL,batch_000/star_2hop_00017.graphml,batch_000/star_2hop_00017.txt,output_queries_part_1.csv
UD_star_2hop_000018,UD,fiction,star_2hop,Who is spending time with the NARRATOR before the event on SATURDAY that involves EDWARD and reflects on the RAILROAD TRESTLE?,JACOB,batch_000/star_2hop_00018.graphml,batch_000/star_2hop_00018.txt,output_queries_part_1.csv
UD_star_2hop_000019,UD,physics,star_2hop,What concept did GOLDFARB use to critique the THOUGHT EXPERIMENT involving LIGHT and the influence of FREGE?,GÖDEL,batch_000/star_2hop_00019.graphml,batch_000/star_2hop_00019.txt,output_queries_part_1.csv
UD_star_2hop_000020,UD,physics,star_2hop,"What becomes significant at the PLANCK LENGTH, where it is comparable to other fundamental forces and incorporated into the fabric of SPACETIME by the SPECIAL THEORY OF RELATIVITY developed by ALBERT EINSTEIN?",GRAVITY,batch_000/star_2hop_00020.graphml,batch_000/star_2hop_00020.txt,output_queries_part_1.csv
